team_id,team_title,team_country_id,team_country_name,team_noc,team_country_isoa2,team_flag,team_flag_circle,profile_edit_date,team_profile_image,team_slug,team_listing,team_api_listing,splits,result_id,position,total_time,start_num,prog_id,event_id,event_title,team_order,athlete_id,athlete_title,athlete_gender,cat_id,cat_name
126801,Team I Italy,190,Italy,ITA,IT,https://cms.triathlon.org/assets/9b100a17-b57e-4ce4-9ec2-2735e71f417c,https://cms.triathlon.org/assets/95f6dee9-b0e4-4b2a-9d9e-a2a3cae737f0,,,team-i-italy,,https://api.triathlon.org/v1/athletes/126801,"['00:21:05', '00:23:37', '00:21:19', '00:22:33']",1058463,4,01:28:32,2,550671,163472,2022 World Triathlon Championship Series Leeds,2,71740,Ilaria Zane,female,351.0,World Championship Series
126801,Team I Italy,190,Italy,ITA,IT,https://cms.triathlon.org/assets/9b100a17-b57e-4ce4-9ec2-2735e71f417c,https://cms.triathlon.org/assets/95f6dee9-b0e4-4b2a-9d9e-a2a3cae737f0,,,team-i-italy,,https://api.triathlon.org/v1/athletes/126801,"['00:21:05', '00:23:37', '00:21:19', '00:22:33']",1058463,4,01:28:32,2,550671,163472,2022 World Triathlon Championship Series Leeds,3,106513,Michele Sarzilla,male,351.0,World Championship Series
126801,Team I Italy,190,Italy,ITA,IT,https://cms.triathlon.org/assets/9b100a17-b57e-4ce4-9ec2-2735e71f417c,https://cms.triathlon.org/assets/95f6dee9-b0e4-4b2a-9d9e-a2a3cae737f0,,,team-i-italy,,https://api.triathlon.org/v1/athletes/126801,"['00:21:05', '00:23:37', '00:21:19', '00:22:33']",1058463,4,01:28:32,2,550671,163472,2022 World Triathlon Championship Series Leeds,4,58449,Verena Steinhauser,female,351.0,World Championship Series
126799,Team I Belgium,119,Belgium,BEL,BE,https://cms.triathlon.org/assets/a3cfa31f-22a9-4738-a80e-626d4c0a29a0,https://cms.triathlon.org/assets/e587d549-c38f-44ae-bbac-d4f4d7da1080,,,team-i-belgium,,https://api.triathlon.org/v1/athletes/126799,"['00:21:11', '00:23:10', '00:21:00', '00:23:21']",1058464,5,01:28:40,12,550671,163472,2022 World Triathlon Championship Series Leeds,1,71340,Noah Servais,male,351.0,World Championship Series
126799,Team I Belgium,119,Belgium,BEL,BE,https://cms.triathlon.org/assets/a3cfa31f-22a9-4738-a80e-626d4c0a29a0,https://cms.triathlon.org/assets/e587d549-c38f-44ae-bbac-d4f4d7da1080,,,team-i-belgium,,https://api.triathlon.org/v1/athletes/126799,"['00:21:11', '00:23:10', '00:21:00', '00:23:21']",1058464,5,01:28:40,12,550671,163472,2022 World Triathlon Championship Series Leeds,2,94265,Valerie Barthelemy,female,351.0,World Championship Series
126799,Team I Belgium,119,Belgium,BEL,BE,https://cms.triathlon.org/assets/a3cfa31f-22a9-4738-a80e-626d4c0a29a0,https://cms.triathlon.org/assets/e587d549-c38f-44ae-bbac-d4f4d7da1080,,,team-i-belgium,,https://api.triathlon.org/v1/athletes/126799,"['00:21:11', '00:23:10', '00:21:00', '00:23:21']",1058464,5,01:28:40,12,550671,163472,2022 World Triathlon Championship Series Leeds,3,39974,Jelle Geens,male,351.0,World Championship Series
126799,Team I Belgium,119,Belgium,BEL,BE,https://cms.triathlon.org/assets/a3cfa31f-22a9-4738-a80e-626d4c0a29a0,https://cms.triathlon.org/assets/e587d549-c38f-44ae-bbac-d4f4d7da1080,,,team-i-belgium,,https://api.triathlon.org/v1/athletes/126799,"['00:21:11', '00:23:10', '00:21:00', '00:23:21']",1058464,5,01:28:40,12,550671,163472,2022 World Triathlon Championship Series Leeds,4,113106,Jolien Vermeylen,female,351.0,World Championship Series
126778,Team I Australia,111,Australia,AUS,AU,https://cms.triathlon.org/assets/925409a9-857d-45ea-9286-eebf554151c4,https://cms.triathlon.org/assets/8ffa9ee3-ea13-4c4e-ac81-11af20580c7e,2022-03-23 13:00:21,,team-i-australia,,https://api.triathlon.org/v1/athletes/126778,"['00:20:57', '00:23:42', '00:20:59', '00:23:11']",1058465,6,01:28:49,6,550671,163472,2022 World Triathlon Championship Series Leeds,1,80795,Matthew Hauser,male,351.0,World Championship Series
126778,Team I Australia,111,Australia,AUS,AU,https://cms.triathlon.org/assets/925409a9-857d-45ea-9286-eebf554151c4,https://cms.triathlon.org/assets/8ffa9ee3-ea13-4c4e-ac81-11af20580c7e,2022-03-23 13:00:21,,team-i-australia,,https://api.triathlon.org/v1/athletes/126778,"['00:20:57', '00:23:42', '00:20:59', '00:23:11']",1058465,6,01:28:49,6,550671,163472,2022 World Triathlon Championship Series Leeds,2,123455,Sophie Linn,female,351.0,World Championship Series
126778,Team I Australia,111,Australia,AUS,AU,https://cms.triathlon.org/assets/925409a9-857d-45ea-9286-eebf554151c4,https://cms.triathlon.org/assets/8ffa9ee3-ea13-4c4e-ac81-11af20580c7e,2022-03-23 13:00:21,,team-i-australia,,https://api.triathlon.org/v1/athletes/126778,"['00:20:57', '00:23:42', '00:20:59', '00:23:11']",1058465,6,01:28:49,6,550671,163472,2022 World Triathlon Championship Series Leeds,3,45915,Jacob Birtwhistle,male,351.0,World Championship Series
126778,Team I Australia,111,Australia,AUS,AU,https://cms.triathlon.org/assets/925409a9-857d-45ea-9286-eebf554151c4,https://cms.triathlon.org/assets/8ffa9ee3-ea13-4c4e-ac81-11af20580c7e,2022-03-23 13:00:21,,team-i-australia,,https://api.triathlon.org/v1/athletes/126778,"['00:20:57', '00:23:42', '00:20:59', '00:23:11']",1058465,6,01:28:49,6,550671,163472,2022 World Triathlon Championship Series Leeds,4,10077,Charlotte McShane,female,351.0,World Championship Series
