team_id,team_title,team_country_id,team_country_name,team_noc,result_id,position,total_time,start_num,prog_id,event_id,event_title,team_order,athlete_id,athlete_title,athlete_gender
126795,Team I Czech Republic,152,Czech Republic,CZE,1058470,11,01:30:45,10,550671,163472,2022 World Triathlon Championship Series Leeds,2,26478,Petra Kurikova,female
126795,Team I Czech Republic,152,Czech Republic,CZE,1058470,11,01:30:45,10,550671,163472,2022 World Triathlon Championship Series Leeds,3,41590,Jan Volar,male
126795,Team I Czech Republic,152,Czech Republic,CZE,1058470,11,01:30:45,10,550671,163472,2022 World Triathlon Championship Series Leeds,4,79830,Tereza Zimovjanova,female
126782,Team I New Zealand,232,New Zealand,NZL,1058471,12,01:30:55,3,550671,163472,2022 World Triathlon Championship Series Leeds,1,54985,Tayler Reid,male
126782,Team I New Zealand,232,New Zealand,NZL,1058471,12,01:30:55,3,550671,163472,2022 World Triathlon Championship Series Leeds,2,103883,Olivia Thornbury,female
126782,Team I New Zealand,232,New Zealand,NZL,1058471,12,01:30:55,3,550671,163472,2022 World Triathlon Championship Series Leeds,3,104034,Hayden Wilde,male
126782,Team I New Zealand,232,New Zealand,NZL,1058471,12,01:30:55,3,550671,163472,2022 World Triathlon Championship Series Leeds,4,6783,Andrea Hansen,female
126794,Team I Denmark,153,Denmark,DEN,1058472,13,01:31:17,16,550671,163472,2022 World Triathlon Championship Series Leeds,1,58566,Emil Holm,male
126794,Team I Denmark,153,Denmark,DEN,1058472,13,01:31:17,16,550671,163472,2022 World Triathlon Championship Series Leeds,2,94555,Anne Holm,female
126794,Team I Denmark,153,Denmark,DEN,1058472,13,01:31:17,16,550671,163472,2022 World Triathlon Championship Series Leeds,3,106438,Oscar Gladney Rundqvist,male
126794,Team I Denmark,153,Denmark,DEN,1058472,13,01:31:17,16,550671,163472,2022 World Triathlon Championship Series Leeds,4,82017,Alberte Kjær Pedersen,female
126777,Team I Japan,192,Japan,JPN,1058473,14,01:31:45,19,550671,163472,2022 World Triathlon Championship Series Leeds,1,39264,Kenji Nener,male
126777,Team I Japan,192,Japan,JPN,1058473,14,01:31:45,19,550671,163472,2022 World Triathlon Championship Series Leeds,2,17285,Yuko Takahashi,female
126777,Team I Japan,192,Japan,JPN,1058473,14,01:31:45,19,550671,163472,2022 World Triathlon Championship Series Leeds,3,98547,Takumi Hojo,male
126777,Team I Japan,192,Japan,JPN,1058473,14,01:31:45,19,550671,163472,2022 World Triathlon Championship Series Leeds,4,115034,Sarika Nakayama,female
126774,Team I Hungary,182,Hungary,HUN,1058474,15,01:32:46,15,550671,163472,2022 World Triathlon Championship Series Leeds,1,94446,Csongor Lehmann,male
126774,Team I Hungary,182,Hungary,HUN,1058474,15,01:32:46,15,550671,163472,2022 World Triathlon Championship Series Leeds,2,127941,Márta Kropkó,female
126774,Team I Hungary,182,Hungary,HUN,1058474,15,01:32:46,15,550671,163472,2022 World Triathlon Championship Series Leeds,3,50700,Bence Bicsák,male
126774,Team I Hungary,182,Hungary,HUN,1058474,15,01:32:46,15,550671,163472,2022 World Triathlon Championship Series Leeds,4,58549,Noémi Sárszegi,female
126780,Team I Spain,270,Spain,ESP,1058475,16,01:34:13,9,550671,163472,2022 World Triathlon Championship Series Leeds,1,74419,Alberto Gonzalez Garcia,male
126780,Team I Spain,270,Spain,ESP,1058475,16,01:34:13,9,550671,163472,2022 World Triathlon Championship Series Leeds,2,98106,Iria Rodriguez,female
126780,Team I Spain,270,Spain,ESP,1058475,16,01:34:13,9,550671,163472,2022 World Triathlon Championship Series Leeds,3,125289,Juan Gonzalez Garcia,male
126780,Team I Spain,270,Spain,ESP,1058475,16,01:34:13,9,550671,163472,2022 World Triathlon Championship Series Leeds,4,132893,María Casals Mojica,female
126802,Team I Sweden,275,Sweden,SWE,1058479,DNS,DNS,18,550671,163472,2022 World Triathlon Championship Series Leeds,1,72784,Gabriel Sandör,male
126802,Team I Sweden,275,Sweden,SWE,1058479,DNS,DNS,18,550671,163472,2022 World Triathlon Championship Series Leeds,2,104981,Emma Varga,female
126802,Team I Sweden,275,Sweden,SWE,1058479,DNS,DNS,18,550671,163472,2022 World Triathlon Championship Series Leeds,3,98134,Daniel Nou,male
126802,Team I Sweden,275,Sweden,SWE,1058479,DNS,DNS,18,550671,163472,2022 World Triathlon Championship Series Leeds,4,135878,Linn Suchomel,female
126783,Team I Switzerland,276,Switzerland,SUI,1058476,LAP,LAP,8,550671,163472,2022 World Triathlon Championship Series Leeds,1,117248,Fabian Meeusen,male
126783,Team I Switzerland,276,Switzerland,SUI,1058476,LAP,LAP,8,550671,163472,2022 World Triathlon Championship Series Leeds,2,115147,Nora Gmür,female
126783,Team I Switzerland,276,Switzerland,SUI,1058476,LAP,LAP,8,550671,163472,2022 World Triathlon Championship Series Leeds,3,58385,Sylvain Fridelance,male
126783,Team I Switzerland,276,Switzerland,SUI,1058476,LAP,LAP,8,550671,163472,2022 World Triathlon Championship Series Leeds,4,84816,Julie Derron,female
126789,Team I Austria,112,Austria,AUT,1058477,LAP,LAP,14,550671,163472,2022 World Triathlon Championship Series Leeds,1,21622,Alois Knabl,male
126789,Team I Austria,112,Austria,AUT,1058477,LAP,LAP,14,550671,163472,2022 World Triathlon Championship Series Leeds,2,17670,Sara Vilic,female
126789,Team I Austria,112,Austria,AUT,1058477,LAP,LAP,14,550671,163472,2022 World Triathlon Championship Series Leeds,3,94563,Tjebbe Kaindl,male
126789,Team I Austria,112,Austria,AUT,1058477,LAP,LAP,14,550671,163472,2022 World Triathlon Championship Series Leeds,4,41079,Julia Hauser,female
126781,Team I Mexico,219,Mexico,MEX,1058478,LAP,LAP,20,550671,163472,2022 World Triathlon Championship Series Leeds,1,6186,Irving Perez,male
126781,Team I Mexico,219,Mexico,MEX,1058478,LAP,LAP,20,550671,163472,2022 World Triathlon Championship Series Leeds,2,73426,Lizeth Rueda Santos,female
126781,Team I Mexico,219,Mexico,MEX,1058478,LAP,LAP,20,550671,163472,2022 World Triathlon Championship Series Leeds,3,7503,Crisanto Grajales Valencia,male
126781,Team I Mexico,219,Mexico,MEX,1058478,LAP,LAP,20,550671,163472,2022 World Triathlon Championship Series Leeds,4,132421,Anahi Alvarez Corral,female
126787,Team I France,166,France,FRA,1063405,1,01:27:14,6,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,30249,Pierre Le Corre,male
126787,Team I France,166,France,FRA,1063405,1,01:27:14,6,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,125375,Emma Lombardi,female
126787,Team I France,166,France,FRA,1063405,1,01:27:14,6,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,11143,Vincent Luis,male
126787,Team I France,166,France,FRA,1063405,1,01:27:14,6,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,63163,Cassandre Beaugrand,female
126779,Team I Great Britain,292,Great Britain,GBR,1063406,2,01:27:37,1,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,96742,Alex Yee,male
126779,Team I Great Britain,292,Great Britain,GBR,1063406,2,01:27:37,1,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,50760,Sophie Evans,female
126779,Team I Great Britain,292,Great Britain,GBR,1063406,2,01:27:37,1,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,88205,Samuel Dickinson,male
126779,Team I Great Britain,292,Great Britain,GBR,1063406,2,01:27:37,1,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,49545,Georgia Taylor-Brown,female
126785,Team I United States,293,United States,USA,1063407,3,01:27:44,3,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,76425,Seth Rider,male
126785,Team I United States,293,United States,USA,1063407,3,01:27:44,3,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,81334,Taylor Spivey,female
126785,Team I United States,293,United States,USA,1063407,3,01:27:44,3,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,18714,Kevin McDowell,male
