Rank,Name,Gender,YOB,Country,IOQR,MOQR,2022 World Triathlon Championship Series Hamburg,2022 World Triathlon Championship Series Leeds,2022 World Triathlon Sprint and Relay Championships Montreal,2023 Americas Triathlon Cup and South American Championships Lima,2023 World Triathlon Championship Series Sunderland,2023 World Triathlon Mixed Relay Series Paris,2023 World Triathlon Sprint and Relay Championships Hamburg,2024 World Triathlon Mixed Relay Olympic Qualification Event Huatulco
213,Aurelien Jem,Men,1996,FRA,247.88,0,,,,,,,,
215,Jorge Alarcon Familiar,Men,1999,MEX,247.3,0,,,,,,,,
216,James Edgar,Men,1998,IRL,246.4,0,,,,,,,,
217,James Corbett,Men,2002,NZL,246.18,0,,,,,,,,
218,Donald Hillebregt,Men,1992,NED,244.81,0,,,,,,,,
219,Flavio Morandini,Men,1994,ARG,242.5,0,,,,0,,,,
220,Carlos Javier Quinchara Forero,Men,1988,COL,241.38,0,,,,,,,,
221,Zakaria Chtioui,Men,2004,TUN,235.221,0,,,,,,,,
222,Ryan Luczak,Men,2001,USA,234.9,0,,,,,,,,
223,Yunfeng Teng,Men,2002,CHN,233.75,0,,,,,,,,
224,Sergiy Polikarpenko,Men,1998,ITA,232.97,0,,,,,,,,
225,Erik Yamir Ramos Croda,Men,2001,MEX,225.6,0,,,,,,,,
226,Lleyton Wall,Men,2002,AUS,224.79,0,,,,,,,,
227,Itamar Levanon,Men,2001,ISR,223.82,0,,,,,,,,
228,Kye Wylde,Men,1997,AUS,220.21,0,,,,,,,,
229,Filip Mainville,Men,2000,CAN,218.93,0,,,,,,,,
230,Youssef El Moutaouakil,Men,1999,MAR,218.67,0,,,,,,,,
231,Ivan Abele,Men,2003,NZL,218.21,0,,,,,,,,
232,Maciej Bruzdziak,Men,1998,POL,218.16,0,,,,,,,,
233,Gjalt Panjer,Men,2002,NED,217.28,0,,,,,,,,
234,Austin Carter,Men,2001,NZL,213.45,0,,,,,,,,
235,Cedric Osterholt,Men,2000,GER,209.53,0,,,,,,,,
236,Hamish Reilly,Men,2002,GBR,208.76,0,,,,,,,,
237,Mateo Mendoza Burgos,Men,2001,CHI,201.14,0,,,,0,,,,
238,Felipe Bianchi,Men,1994,BRA,196.23,0,,,,,,,,
239,Dylan Didier Campa Carranza,Men,2000,MEX,195.69,0,,,,,,,,
240,David Martin,Men,1998,CZE,191.67,0,,,,,,,,
241,Miguel Tiago Silva,Men,1998,POR,184.23,0,,,,,,,,
242,Yhousman David Perdomo Peña,Men,1996,VEN,181.69,395.7265625,,,,395.7265625,,,,
243,Chan Uk Park,Men,1999,KOR,179.97,0,,,,,,,,
